,Spanish,English
0,la acreditación , accreditation
1,la administración , administration
2,administrativo , administrative
3,la aduana , customs
4,el aeropuerto , airport
5,el alto riesgo , high risk
6,el análisis financiero , financial analysis
7,el apartamento , apartment
8,arreglar , to fix
9,asignar , to assign
10,el autobús , bus
11,el automóvil , automobile
12,el banco , bank
13,los beneficios , benefits
14,el boleto , ticket
15,el candidato , candidate
16,la capacitación , training
17,el carro , car
18,el coche , car
19,el combustible , fuel
20,la compañía , company
21,las compras , shopping
22,las concesiones , concessions
23,el conductor , driver
24,el consejo , council or advice
25,la construcción , construction
26,el contrato , contract
27,el costo , cost
28,costoso , expensive
29,la credencial , credential
30,el crédito , credit
31,la cuenta , account
32,el currículo vitae , curriculum vitae
33,despedir , to dismiss
34,el despido , dismissal
35,destinar , to allocate
36,la deuda , debt
37,la discriminación , discrimination
38,el dormitorio , bedroom
39,el dueño , owner
40,el edificio , building
41,la educación , education
42,la electricidad , electricity
43,el enlace , link
44,el entrenamiento , training
45,la entrevista de empleo , job interview
46,la escuela , school
47,facilitar , to facilitate
48,la factura , invoice
49,las finanzas , finance
50,el flete , freight
51,los fondos , funds
52,el gasto , expense
53,el hogar , home
54,el hospedaje , lodging
55,el hospital , hospital
56,los impuestos , taxes
57,el incendio , fire
58,la inmobiliaria , real estate
59,instalar , to install
60,la ley , law
61,las leyes laborales , labor laws
62,el mantenimiento de edificios , building maintenance
63,el médico , doctor
64,la mudanza , move
65,el oficial administrativo , administrative officer
66,el oficial de asuntos financieros , financial affairs officer
67,el oficial de enlace , liaison officer
68,el oficial de personal , personnel officer
69,el pago , payment
70,el papeleo , paperwork
71,el personal , staff
72,personal , personal
73,la pertenencia , belonging
74,la piscina , pool
75,el precio , price
76,el presupuesto , budget
77,las propiedades , properties
78,el proveedor , supplier
79,el recorte , cutback
80,los recursos financieros , financial resources
81,los recursos humanos , human resources
82,la remuneración , remuneration
83,reparar , to repair
84,el requisito , requirement
85,resolver , to solve
86,el salario , salary
87,la salud , health
88,la sección administrativa , administrative section
89,el sector inmobiliario , real estate sector
90,el servicio , service
91,el servicio al cliente , customer service
92,el servicio de calidad , quality service
93,los servicios generales , general services
94,los sistemas de información , information systems
95,la solvencia , solvency
96,el subsidio , subsidy
97,el sueldo , salary
98,la tecnología , technology
99,la transacción , transaction
100,el transporte , transport
101,trasladar , to transfer
102,el traslado , relocation
103,el traslado de pertenencias , moving of belongings
104,las vacaciones , vacation
105,la vacante , vacancy
106,la vacunación , vaccination
107,la vivienda , housing
108,el vuelo , flight
109,el alquiler , rent
110,la instalación , installation
