abogar , to advocate
el adversario , the adversary
la advertencia , the warning
afectar , to affect
el/la analista , the analyst
el arte , the art
artesanal , handmade
asistir , to attend
el asunto , the matter
auspiciar , to sponsor
el bachillerato , high school diploma
la beca , the scholarship
la biblioteca , the library
brindar , to offer
el brindis , the toast
la campaña , the campaign
la carrera , the career or race
la celebración , the celebration
celebrar , to celebrate
la central de operaciones , the operations center
la ciudadanía , the citizenship
el colegio electoral , the electoral college
la competencia , the competition
el comunicado de prensa , the press release
la conferencia , the conference
el/la congresista , the congressperson
el conservador , the conservative
el contacto , the contact
la convocatoria , the call or announcement
la costumbre , the custom
la cuenta , the account
la cultura , the culture
las decisiones , the decisions
la declaración , the statement
la democracia , democracy
los deportes , sports
los derechos humanos , human rights
el desarrollo , the development
despertar interés , to arouse interest
el destino turístico , the tourist destination
la diplomacia , diplomacy
la diplomacia pública , public diplomacy
la diversidad , diversity
el doctorado , the doctorate
la educación , education
el congreso , the congress
las elecciones , the elections
emitir un mensaje , to issue a message
la encuesta , the survey
el entendimiento , the understanding
la entrevista , the interview
la escuela , the school
el espectáculo , the show
el/la estudiante , the student
estudiar , to study
los estudios , studies
la exposición , the exhibition
la feria , the fair
la formación académica , academic training
fortalecer , to strengthen
la herencia , the heritage
la historia , the history
histórico , historic
el ideal , the ideal
la identidad , the identity
el idioma , the language
incentivar , to encourage
la independencia , independence
el/la indígena , the indigenous person
influir , to influence
la información , the information
informar , to inform
el inmigrante , the immigrant
la institución educativa , the educational institution
el instituto , the institute
el instrumento , the instrument
la interacción , the interaction
el intercambio , the exchange
interceder , to intercede
la opinión publica , public opinion
legítimo , legitimate
la ley , the law
liberal , liberal
la libertad de elección , freedom of choice
la libertad de expresión , freedom of speech
la licenciatura , the bachelor's degree
la literatura , literature
la maestría , the master's degree
el maestro , the teacher
la matrícula , the enrollment or tuition
los medios de comunicación , the media
el mensaje , the message
el ministerio de educación , the ministry of education
el ministro , the minister
monitorear , to monitor
la mujer , the woman
multicultural , multicultural
multirracial , multiracial
el museo , the museum
la música , the music
el musical , the musical
las noticias , the news
el oficial de asuntos culturales , the cultural affairs officer
el oficial de información , the information officer
el oficial de prensa , the press officer
los parques nacionales , the national parks
los partidos políticos , political parties
el patrimonio , the heritage
la paz , peace
el periódico , the newspaper
el/la periodista , the journalist
los pesos y contrapesos , checks and balances
el pilar , the pillar
la población , the population
la política estadounidense , American politics
la postura , the stance
la prensa , the press
promover , to promote
la propaganda , propaganda
la prosperidad , prosperity
publicar , to publish
el público , the public
la raza , the race
las redes sociales , social media
relacionarse , to relate
la repatriación , repatriation
el reportaje cultural , the cultural report
reportar , to report
la riqueza , the wealth
la rueda de prensa , the press conference
los seguidores , the followers
el semestre , the semester
el senador , the senator
suspender , to suspend
la tecnología , technology
la televisión , the television
los titulares , the headlines
el título , the degree or title
la tradición , the tradition
transmitir , to transmit
la tribu , the tribe
el turismo , tourism
el vínculo , the link
visitar , to visit
el vocero , the spokesperson
el anuncio publicitario , the advertisement
la galería de arte , the art gallery
el simpatizante , the supporter
la universidad , the university
