,Spanish,English
0,el aire puro,clean air
1,el basurero,garbage dump
2,la biodiversidad,biodiversity
3,el calentamiento,warming
4,la capa de ozono,ozone layer
5,el clima,climate/weather
6,la contaminación,pollution
7,dañar,to harm
8,la deforestación,deforestation
9,el efecto invernadero,greenhouse effect
10,las emisiones,emissions
11,envenenar,to poison
12,la erosión,erosion
13,la lluvia ácida,acid rain
14,la marea negra,black tide
15,los recursos naturales,natural resources
16,los recursos no renovables,non-renewable resources
17,respirar,to breathe
18,reutilizar,to re-use
19,la selva tropical,tropical forest
20,la sequía,drought
21,el suelo,ground
22,el terremoto,earthquake
23,la fracturación hidráulica,fracking
24,el gasoducto,pipeline
25,el reciclaje,recycling
26,los combustibles fósiles,fossil fuels
27,el petróleo,oil (for gasoline)
28,la gasolina,gas (for cars)
29,el derrame/el vertido,spill
30,el crudo,crude
31,la flora y la fauna,plants and wildlife
32,el agua potable,drinking water
33,la Agencia para la Protección del Ambiente,EPA
34,el incendio forestal,Forest fire
35,el dióxido de carbono,carbon dioxide
36,el impacto ecológico/ambiental,carbon footprint
37,ecológico/favorable al medio ambiente,environment friendly
38,la energía eólica,wind power/wind energy
39,especies en peligro/en vía de extinción,endangered species
40,contaminación acústica,noise pollution
41,residuos tóxicos,toxic waste
42,la desertización,desertification
43,el nivel del mar,sea level
44,el hielo,ice
45,el derretimiento,melting
46,el polo,pole
47,el desarrollo sostenible,sustainable development
