,Spanish,English
0,abogar , to advocate
1,el abuso de poder , abuse of power
2,el acuerdo , the agreement
3,la advertencia , the warning
4,afectar , to affect
5,el alcalde , the mayor
6,el aliado , the ally
7,el análisis , the analysis
8,el/la analista , the analyst
9,el apoyo , the support
10,el asilo político , political asylum
11,la asistencia humanitaria , humanitarian aid
12,el asunto , the issue
13,la bandera , the flag
14,beneficiarse , to benefit
15,brindar , to offer
16,el brindis , the toast
17,el cambio de gobierno , change of government
18,el candidato , the candidate
19,la central de operaciones , operations center
20,la ciudadanía , citizenship
21,el colegio electoral , electoral college
22,la compañía , the company
23,la complicidad , complicity
24,el comunismo , communism
25,la conferencia , the conference
26,confiscar , to confiscate
27,el/la congresista , the congress member
28,el conservador , the conservative
29,la conspiración , the conspiracy
30,el contacto , the contact
31,contraproducente , counterproductive
32,la corrupción , corruption
33,el crecimiento económico , economic growth
34,la cumbre , the summit
35,cumplir la ley , to comply with the law
36,los datos , the data
37,la declaración , the declaration
38,la democracia , democracy
39,el/la demócrata , the democrat
40,los derechos humanos , human rights
41,derrocar , to overthrow
42,la desigualdad , inequality
43,el desplazado , the displaced person
44,devaluar , to devalue
45,el dictador , the dictator
46,la dictadura , the dictatorship
47,la discordia , discord
48,el congreso , congress
49,las elecciones , the elections
50,la entrevista , the interview
51,erradicar , to eradicate
52,las estadísticas , the statistics
53,el estado , the state
54,los eventos políticos , political events
55,el exgobernador , the former governor
56,los fondos , the funds
57,fortalecer , to strengthen
58,el funcionario político , the political official
59,la gobernanza , governance
60,gobernar , to govern
61,el gobierno , the government
62,el gobierno municipal , municipal government
63,el golpe de estado , the coup d'état
64,la guerra , the war
65,la igualdad , equality
66,impulsar , to boost
67,incentivar , to encourage
68,la independencia , independence
69,el indicador , the indicator
70,influir , to influence
71,el informe , the report
72,la injusticia , injustice
73,el instrumento , the instrument
74,interceder , to intercede
75,la irregularidad , irregularity
76,la justicia , justice
77,la legislación , legislation
78,legítimo , legitimate
79,la ley , the law
80,liberal , liberal
81,la libertad , freedom
82,la libertad de elección , freedom of choice
83,la libertad de expresión , freedom of speech
84,las manifestaciones , demonstrations
85,la marcha , the march
86,el marco legal , legal framework
87,el mecanismo , the mechanism
88,las medidas , measures
89,los medios de comunicación , media
90,el mejoramiento , improvement
91,mejorar , to improve
92,el ministerio público , the public ministry
93,monitorear , to monitor
94,la movilización , mobilization
95,la nación , the nation
96,la negociación , negotiation
97,las noticias , the news
98,el organismo , the organization
99,los países desarrollados , developed countries
100,los países en desarrollo , developing countries
101,el paraíso fiscal , tax haven
102,el parlamento , parliament
103,el partido , the party
104,el partido independiente , independent party
105,el partido político , political party
106,los partidos políticos , political parties
107,la paz , peace
108,el/la periodista , journalist
109,los pesos y contrapesos , checks and balances
110,el plan , the plan
111,la pluralidad , plurality
112,la población , population
113,la política , politics
114,la política exterior , foreign policy
115,la postura , stance
116,la prensa , press
117,la presidencia , presidency
118,el presupuesto , budget
119,promover , to promote
120,la prosperidad , prosperity
121,protestar , to protest
122,la raza , race
123,rebelarse , to rebel
124,las redes sociales , social networks
125,el refugiado , refugee
126,el régimen , regime
127,la regulación , regulation
128,reportar , to report
129,la representación , representation
130,la represión , repression
131,el resultado , result
132,el resumen , summary
133,las sanciones , sanctions
134,la sección política , political section
135,el sector , sector
136,los seguidores , followers
137,el senador , senator
138,el/la simpatizante , sympathizer
139,el sindicato , union
140,el sistema opresivo , oppressive system
141,el soborno , bribery
142,la solvencia económica , economic solvency
143,el agregado político , political attaché
144,la gobernabilidad , governability
145,el republicano , republican
146,la síntesis , synthesis
147,el subsidio , subsidy
148,suspender , to suspend
149,la tasa , rate
150,los titulares , headlines
151,la transparencia , transparency
152,la trata de personas , human trafficking
153,el tratado , treaty
154,el unipartidismo , one-party system
155,los valores , values
156,el vínculo , link
157,la violación , violation
158,la violencia , violence
159,el vocero , spokesperson
