,Spanish,English
0,el abuso , abuse
1,el acuerdo , agreement
2,la administración , administration
3,la administración de proyectos , project management
4,afectar , to affect
5,la agencia de desarrollo internacional , international development agency
6,agrícola , agricultural
7,la agricultura , agriculture
8,el agua , water
9,la alimentación , feeding
10,el/la ambientalista , environmentalist
11,el analfabetismo , illiteracy
12,el/la analista , analyst
13,el apoyo , support
14,el asentamiento , settlement
15,asequible , affordable
16,la asistencia humanitaria , humanitarian assistance
17,el asunto , matter
18,la ayuda , aid
19,beneficiarse , to benefit
20,el bienestar , welfare
21,la brecha , gap
22,el campesino , peasant
23,el campo , field
24,la carretera , road
25,combatir , to combat
26,el comercio , trade
27,la compañía , company
28,la comunidad , community
29,la construcción , construction
30,la contaminación , pollution
31,contaminado , contaminated
32,el contrato , contract
33,el costo , cost
34,el crecimiento económico , economic growth
35,la democracia , democracy
36,los derechos humanos , human rights
37,el desarrollo , development
38,el desarrollo sostenible , sustainable development
39,los desastres naturales , natural disasters
40,la desigualdad , inequality
41,la desnutrición infantil , child malnutrition
42,despedir , to fire
43,el desplazado , displaced
44,destinar , to allocate
45,la deuda , debt
46,el dueño , owner
47,la economía , economy
48,el edificio , building
49,la educación , education
50,la electricidad , electricity
51,la embarazada , pregnant woman
52,el empobrecimiento , impoverishment
53,la empresa , company
54,las enfermedades , diseases
55,las enfermedades transmisibles , communicable diseases
56,erradicar , to eradicate
57,la estructura , structure
58,la etapa , stage
59,la explotación , exploitation
60,fortalecer , to strengthen
61,la fundación , foundation
62,los gastos , expenses
63,la gobernabilidad , governability
64,gobernar , to govern
65,el hogar , home
66,la igualdad , equality
67,los impuestos , taxes
68,impulsar , to drive
69,la industria , industry
70,infectarse , to become infected
71,influir , to influence
72,la infraestructura , infrastructure
73,los ingresos , income
74,el intercambio , exchange
75,la inversión , investment
76,la irregularidad , irregularity
77,la ley , law
78,la malversación , embezzlement
79,el mecanismo , mechanism
80,la medida , measure
81,el medio ambiente , environment
82,los medios de comunicación , media
83,el mejoramiento , improvement
84,mejorar , to improve
85,la mortalidad , mortality
86,la mujer , woman
87,la negociación , negotiation
88,operar , to operate
89,la organización sin fin de lucro , nonprofit organization
90,las organizaciones no gubernamentales , non-governmental organizations
91,los países desarrollados , developed countries
92,los países en desarrollo , developing countries
93,los países pobres , poor countries
94,la paz , peace
95,el personal , staff
96,personal , personal
97,el plan , plan
98,la pobreza , poverty
99,la política , policy
100,la prensa , press
101,el programa , program
102,el progreso , progress
103,la prosperidad , prosperity
104,el proyecto , project
105,los recortes , cuts
106,los recursos , resources
107,los recursos naturales , natural resources
108,los recursos naturales no renovables , non-renewable natural resources
109,el refugiado , refugee
110,la repatriación , repatriation
111,la responsabilidad social , social responsibility
112,la riqueza , wealth
113,la sanción , sanction
114,la sequía , drought
115,el servicio , service
116,el soborno , bribery
117,el subsidio , subsidy
118,el sueldo , salary
119,la tasa , rate
120,la transacción , transaction
121,la transparencia , transparency
122,el transporte , transport
123,el tratado , treaty
124,el tratamiento , treatment
125,la víctima , victim
126,el vínculo , link
127,la agencia de desarrollo internacional , international development agency
128,facilitar , to facilitate
