el acuerdo , the agreement
la administración , the administration
la agencia , the agency
la agencia de Desarrollo Internacional , the International Development Agency
la agenda , the agenda
el agregado , the attache
el análisis , the analysis
el anfitrión , the host
el apoyo , the support
el ascenso , the promotion
el asesoramiento , the advice
la asignación , the assignment
el asunto , the issue
los beneficios , the benefits
la campaña , the campaign
el campo , the field
el capitolio , the capitol
el cargo , the position
La Casa Blanca , The White House
celebrar , to celebrate
el ciudadano , the citizen
el/la colega , the colleague
la comisión , the commission
los compromisos , the commitments
el computador , the computer
el conflicto de intereses , the conflict of interest
el/la congresista , the congressperson
los congresos , the congresses
el cono , the cone
el consulado , the consulate
la convención , the convention
el correo electrónico , the email
la credencial , the credential
la crisis , the crisis
la cultura , the culture
la cumbre , the summit
la delegación , the delegation
el Departamento de Agricultura , the Department of Agriculture
el Departamento de Comercio , the Department of Commerce
el Departamento de Defensa , the Department of Defense
el Departamento de Estado , the Department of State
el Departamento de Justicia , the Department of Justice
el Departamento de Salud y Servicios Humanos , the Department of Health and Human Services
el Departamento de Trabajo , the Department of Labor
desempeñar , to perform
la diplomacia , diplomacy
el diplomático , the diplomat
la embajada , the embassy
el embajador , the ambassador
el empleado , the employee
el empleo , the employment
el encargado , the person in charge
la entidad , the entity
el entrenamiento , the training
el/la especialista , the specialist
el estado , the state
estadounidense , American
la estrategia , the strategy
los eventos , the events
el éxito , the success
la experiencia , the experience
el experto , the expert
el exterior , the exterior
el extranjero , the foreigner
el feriado , the holiday
las finanzas , the finances
el funcionario , the official
el gerente , the manager
el gobierno , the government
el gobierno federal , the federal government
el gobierno municipal , the municipal government
los homólogos , the counterparts
el horario , the schedule
la información clasificada , classified information
el informe , the report
el interés , the interest
el/la internet , the internet
la invitación , the invitation
el jefe , the chief
el jefe adjunto de misión , the deputy chief of mission
la jornada , the workday
las labores , the labors
las funciones , the functions
Latinoamérica , Latin America
la ley , the law
el/la lider , the leader
los lineamientos , the guidelines
llevar a cabo , to carry out
los medios de comunicación , the media
la meta , the goal
el ministerio de educación , the ministry of education
el ministro consejero , the minister counselor
la misión diplomática , the diplomatic mission
la nación , the nation
la negociación , the negotiation
el negociador , the negotiator
el nombramiento , the appointment
los objetivos , the objectives
la oficina , the office
la ONU , the UN
las operaciones , the operations
la oportunidad , the opportunity
el ordenador , the computer
el organismo , the organism
la organización , the organization
las organizaciones no gubernamentales , non-governmental organizations
el país , the country
el país de destino , the destination country
la pasantía , the internship
el pasaporte , the passport
patrocinar , to sponsor
el personal , the staff
la política , the policy
la política exterior , foreign policy
la prensa , the press
la presidencia , the presidency
el presidente , the president
prevenir , to prevent
el programa , the program
promover , to promote
el protocolo , the protocol
el proyecto , the project
la recepción , the reception
los recursos , the resources
las relaciones , the relations
las relaciones internacionales , international relations
el rendimiento , the performance
el/la representante , the representative
representar , to represent
la responsabilidad , the responsibility
el reto , the challenge
las reuniones , the meetings
la sección , the section
el secretario de estado , the secretary of state
la sede , the headquarters
el senador , the senator
el servicio exterior , the foreign service
los servicios de inmigración y ciudadanía , immigration and citizenship services
servir , to serve
el sistema , the system
el supervisor , the supervisor
el tema , the topic
tomar decisiones , to make decisions
el trabajador , the worker
el tratado , the treaty
las vacaciones , the holidays
el vocero , the spokesperson
