los temas,the themes
tener que ver con...,to have to do with
plantear,"to suggest, bring up"
una discusión,a discussion
valorar,"to value, appreciate"
vigilado,"(noun) surveilled, watched, guarded"
incómodo,uncomfortable
gastar,to spend
cualquier tipo de amenaza,any type of threat
auspiciado por...,sponsored by
se comentaba,it was commented
este programa tenía la capacidad de interceptar (tener),this program had the capacity to intercept
mensajes de texto,text messages
de este tipo,of this kind
se encargan de velar por...,they are responsible for looking after
el cumplimiento de la ley,law enforcement
me parece que...,it seems to me that
me registran (registar),they search me
estaba expuesta a...,I was exposed to
se dice que...,it is said that
poseer,to possess
el promedio,the average
disuadir,to dissuade
los ladrones,the thieves
reconocer,to recognize
debemos darnos cuenta de... / tenemos que darnos cuenta de...,we need to realize that ...
actuar,to act
invadir,to invade
los estafadores,the scammers
la cédula,the identity card
para otro día,for another day
lamentablemente,"unfortunately, regrettably"
el atentado,the attack
los heridos,the wounded
los crímenes de odio,the hate crimes
el racismo,the racism
superar,to overcome
hay que ser cuidadoso,one must be careful
la convivencia,the coexistence
los riesgos,the risks
(ellos) nos brindan (brindar),they provide us
los peligros,the dangers
(ellos) reabren el debate (reabrir),they reopen the debate
Hacer preguntas,to ask questions
Tomar decisiones,to make decisions
entrevistar,to interview
cansar,"to tire, annoy, exhaust (bore)"
asegurar,to claim
había fallecido,he had passed away
comprobar,"to prove, to confirm"
los talones de pago,the pay statement
la adopción,the adoption
las personas que cumplen los requisitos (cumplir),"the people who meet the requirements (to achieve, fulfill)"
¿Los entrevistados mienten en las entrevistas? (mentir):,Do the interviewees lie in the interviews?
Me temo que sí (temer),I'm afraid so
levantar las sospechas,to raise suspicions
Pedir ayuda,to ask for help
(la unidad de prevención) se encarga de (encargarse de),the fraud prevention unit is in charge of
aportar,"to provide, contribute"
ir a la cárcel,to go to jail
gracias por haber estado aquí,thanks for being here
ha sido un placer,It has been a pleasure
igualmente,Likewise
brindamos servicios,we offer services
están de visita,they are visiting
enfrentar,"to face, confront"
asegurar el bienestar,to ensure the well-being
los compatriotas,the compatriots
la siguiente,the following
doble nacionalidad,dual nationality
el consentimiento,the consent
traerse a su hijo a Estados Unidos,to bring her child to the United States
no dio su brazo a torcer (dar),he didn't give up
(él) obtuvo (obtener),he got
un abogado local,a local attorney
desesperada (adj.),desperate
(ellos) se contactaron con (contactarse),they contacted
la custodia,the custody
desconocer las costumbres del país,to ignore the traditions of the country
una falta de prudencia,a lack of discretion
(yo) me imagino que (imaginarse),I figure that
solicitar,"to solicit, request"
los problemas parecidos,the similar problems
condenado (adj.),"sentenced, convicted, damned"
las escopetas de alto calibre,the high-caliber shotguns
La fiscalía general,Attorney General
constatar,"to confirm, verify"
el juicio,the trial
el juez,the judge
(él) los declaró culpables (declarar),he found them guilty
la extradición,the extradition
los encarcelados,the incarcerated
el país vecino,the neighboring country
proveer,to provide
los desafios,the challenges
arduamente,"arduously, painstakingly"
agotado,exhausted (adj.)
estar abrumado,to be overwhelmed
abrumador,overwhelming (adj.)
prestar,"to offer, lend, provide"
otorgar,"to grant, to award (more formal - documents, permissions, legal stuff)"
respetar,to respect
tener que tratar con...,to have to deal with...
solucionar,"to solve, to resolve"
un ser humano,a human being
los programas de acogida,the integration programs
la repatriación,the repatriation
las costumbres,"the customs, traditions"
"un comienzo, un principio",a beginning
la realidad,the reality
los conflictos duran (durar),the conflicts last
los campos de refugiados,refugee camps
los asentamientos permanentes,permanent settlements
(ellos) no tienen a donde ir (tener),they don't have anywhere to go
no pueden escapar de las bombas,they cannot escape from the bombs
(la) falta de agua,lack of water
el aumento,the increase
(los) brotes de cólera,Cholera outbreaks
la sequía,the drought
el hambre,the hunger
empeorar,to worsen
(ellos) se mezclan (mezclarse),they blend in
para apoderarse de,in order to take control of
los suministros,the supplies
nuestra labor,our job
procesar,to process
negar,to deny
el Medio Oriente,the Middle East
los conflictos internos,internal conflicts
la lucha,the fight
exitoso,successful
jubilado,retired
cargar,to charge
los parientes,relatives
(Agustín) a los niños les ayuda a distraerse (ayudar),Agustin helps children by distracting them
una pantalla,a screen
unos altavoces,some speakers
al mismo tiempo,at the same time
proporcionar,to provide
la generosidad,generosity
en su nuevo hogar,in their new home
un santuario de ballenas,a whale sanctuary
asimismo / igualmente,Likewise
las especies en peligro de extinción,species in danger of extinction
las portadas de los periódicos,the covers of the newspapers
el volcán hizo erupción (hacer),The volcano erupted
compartirlo con el mundo entero,to share it with the entire world
(las fotos) se convirtieron (rápidamente) en una tendencia,the photos quickly became a trending topic
no obstante,nevertheless
dio paso a una situación de emergencia,it became an emergency situation
la búsqueda,the search
perdieron contacto con ellos,they lost contact with them
tras la publicación de las fotos,after the publication of the photos
mientras tanto,meanwhile
está enviando avisos,she is sending notifications
llevar a cabo / está llevando a cabo,to carry out / it is carrying out
el cese al fuego,the ceasefire
pierde (pedir),he loses
estar orgulloso de...,to be proud of...
Enorgulleserse,to pride oneself
tener orgullo,to have pride
a pesar de,"in spite of, despite"
en el fondo,deep down
dar paso a,to give way to
